NY Truck Transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYO to Dallas 3/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Item #,Client #,DID / REF,Description,Sender,Recipient,Venue,Sale #,Sale Deadline,Value,Item Count,Location,Bin #,Box Count,Waive Shipping,Shipping Charges,Art SM,Art MD,Art LG,Art XL,Bin,Box SM,Box MD,Box LG,Box XL,Furniture MD,Furniture LG,Furniture XL,Comic Box,Guitar/Rifle,Tube,XL Tube,Rack,Office Location
Nicholas Picohlas,Packed,1,8321030,6724141,Dec arts,Nicholas Picohlas,Glass/Dec Arts Specialist,Dec Arts,8144,2023-07-19,4500,37,ny ops,,2,v,45,,,,,,1,1,,,,,,,,,,,
Nicholas Picohlas,Packed,2,8321030,1164971,dec arts,Nicholas Picohlas,Glass/Dec Arts Specialist,Dec Arts,13200,2023-04-06,4900,22,ny ops,,2,v,80,,,,,,1,,1,,,,,,,,,,
Nicholas Picohlas,Need to Pack,3,8321030,2761114,dec arts lamp,Nicholas Picohlas,Glass/Dec Arts Specialist,Dec Arts,15198,###############################################################################################################################################################################################################################################################,600,1,ny ops,,1,v,30,,,,,,,1,,,,,,,,,,,
MarK Ziggler,Packed,4,7576466,1770150,furniture & stained glass,Curt Burt,Curt Burt,Historical,,,32500,5,NY ops,,,,450,,2,,2,,,,,,1,,,,,,,,
Justine Oppenhimer,Packed,5,1533385,7981010,rolled item,Walt Disney,UrbArt Specialist,Urban,16206,,4000,1,Ops,,1,,65,,,,,,,,1,,,,,,,,,,
Bernie Chase,Need to Pack,6,601357,1617108,frames and flat,Tim Ramen,UrbArt Specialist,Urban,,,7000,6,ops,,2,,115,,,1,,,1,,,,,,,,,,,,
Michele Birnbaum,Packed,7,9130173,1360178,4 frames,Katlyn Stark,Martin Kaiser O'Neil,Modern/Contemporary,17188,2023-08-22,6000,4,ops,,4,,140,2,2,,,,,,,,,,,,,,,,
George Merck,Packed,8,3493306,8705101,5 frames (1 oversized),Walt Disney,UrbArt Specialist,Urban,,,14400,5,FA vault and ops,,3,,195,,,,1,,1,1,,,,,,,,,,,
James Cathcart,Packed,9,5172408,4181171,Ethnographic art,Dahlia Sullivan,Eli Woots,Ethnographic Art,8125,2023-04-10,21250,31,NY ops,,7,,335,,,,,,1,2,4,,,,,,,,,,
Sam Kim,Need to Pack,10,2877426,1764118,2 boxes,Walt Disney,UrbArt Specialist,Urban,16201,,1000,2,ops,,,,0,,,,,,,,,,,,,,,,,,
Amber Cunning,Packed,11,7803203,3361187,Glass bowl,Nicholas Picohlas,Glass/Dec Arts Specialist,Art Glass,15198,2023-05-11,500,1,NY ops,,,v,0,,,,,,,,,,,,,,,,,,
Joan Ann Ark,Need to Pack,12,8489430,8721166,Silver statue,Karen Rigdon,Josefine RavenDark,Silver,to be included with 8123 catalog,###############################################################################################################################################################################################################################################################,30000,1,NY ops,,,,0,,,,,,,,,,,,,,,,,,
George Merck,Need to Pack,13,3493306,8783511,2 bearbricks,Walt Disney,UrbArt Specialist,Urban,16201,2023-05-03,800,2,FA vault,,,,0,,,,,,,,,,,,,,,,,,
Wilson Fisk,Need to Pack,14,1976724,4988117,"misc collectables, frames, rolled",Tim Ramen,UrbArt Specialist,Urban,16200,2023-04-05,28400,15,fa vault and ops area,,,,0,,,,,,,,,,,,,,,,,,
Amber Cunning,Packed,15,7803203,8758181,Silver,Nicholas Picohlas,Josefine RavenDark,Silver/Vertu,8143,###############################################################################################################################################################################################################################################################,25600,12,Ny ops,,,v,0,,,,,,,,,,,,,,,,,,
Wilson Fisk,Need to Pack,16,1976724,8788181,"frames, mis col, sculpture",Tim Ramen,UrbArt Specialist,Urban,16201,,39400,20,fa vault and ops,,,,0,,,,,,,,,,,,,,,,,,
Wilson Fisk,Need to Pack,17,1976724,1769018,surfboard and skateboard,Tim Ramen,UrbArt Specialist,Urban,16201,,1500,2,ops,,,,0,,,,,,,,,,,,,,,,,,
Ray Sua - Estate of Dorothy M. Nosalski,Need to Pack,18,5049498,1089177,Tiffany vase,Sammy Dee,Glass/Dec Arts Specialist,Art Glass,8121,###############################################################################################################################################################################################################################################################,40000,1,ny ops,,,v,0,,,,,,,,,,,,,,,,,,
Wilson Fisk,Packed,19,1976724,1711189,frames and flats,Tim Ramen,Martin Kaiser O'Neil,Modern/Contemporary,17183,2023-05-16,8400,13,ops table,,,,0,,,,,,,,,,,,,,,,,,
Bob Ross,Need to Pack,20,7025331,1817319,CGC comics,Rick Akers,Jay Canella Daniels,Comics,,,25000,34,NY ops,,,,0,,,,,,,,,,,,,,,,,,
EZ Turing,Need to Pack,21,1266316,889117,3 frames,Tim Ramen,UrbArt Specialist,Urban,16202,,5400,3,ops,,,,0,,,,,,,,,,,,,,,,,,
EZ Turing,Need to Pack,22,1266316,8791191,2 paintings,Tim Ramen,UrbArt Specialist,Urban,17183,,5000,2,ops,,,,0,,,,,,,,,,,,,,,,,,
Dawn Wheeler,Packed,23,1114038,1199107,Art glass,Nicholas Picohlas,Glass/Dec Arts Specialist,Art Glass,8144,###############################################################################################################################################################################################################################################################,17700,39,ny ops,,,v,0,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,0023-04-03 to 2023-08-22,323850,259,,,22,7/23,1455,2,4,1,3,0,5,5,6,0,1,0,0,0,0,0,0,0,
